year,month,day,team,defensive_sack_percentage
2021,2,7,Detroit,6.98%
2021,2,7,Minnesota,3.13%
2021,2,7,Tennessee,17.24%
2021,2,7,Las Vegas,4.65%
2021,2,7,Jacksonville,0.00%
2021,2,7,Cincinnati,0.00%
2021,1,31,Pittsburgh,12.82%
2021,1,31,LA Rams,13.51%
2021,1,31,Philadelphia,6.25%
2021,1,31,Washington,12.50%
2021,1,31,Arizona,12.00%
2021,1,31,Tampa Bay,11.43%
2021,1,31,Green Bay,7.14%
2021,1,31,New Orleans,4.65%
2021,1,31,Miami,8.11%
2021,1,31,Denver,5.71%
2021,1,31,Buffalo,12.50%
2021,1,31,Cleveland,5.71%
2021,1,31,Baltimore,12.77%
2021,1,31,Seattle,6.52%
2021,1,31,Indianapolis,2.00%
2021,1,31,Chicago,2.63%
2021,1,31,NY Giants,0.00%
2021,1,31,Houston,0.00%
2021,1,31,Dallas,7.14%
2021,1,31,San Francisco,5.66%
2021,1,31,Kansas City,10.26%
2021,1,31,LA Chargers,4.08%
2021,1,31,Carolina,6.00%
2021,1,31,NY Jets,7.02%
2021,1,31,Atlanta,0.00%
2021,1,31,New England,0.00%
2021,1,31,Minnesota,0.00%
2021,1,31,Detroit,4.55%
2021,1,31,Jacksonville,2.70%
2021,1,31,Las Vegas,7.89%
2021,1,31,Cincinnati,2.94%
2021,1,31,Tennessee,3.85%
2021,1,24,Pittsburgh,13.33%
2021,1,24,Philadelphia,2.63%
2021,1,24,LA Rams,6.06%
2021,1,24,Washington,0.00%
2021,1,24,Arizona,12.00%
2021,1,24,New Orleans,7.84%
2021,1,24,Green Bay,7.89%
2021,1,24,Tampa Bay,5.77%
2021,1,24,Miami,10.00%
2021,1,24,Denver,2.44%
2021,1,24,Indianapolis,10.87%
2021,1,24,Buffalo,8.57%
2021,1,24,Cleveland,3.03%
2021,1,24,Chicago,7.89%
2021,1,24,NY Giants,3.03%
2021,1,24,Seattle,6.78%
2021,1,24,Houston,3.33%
2021,1,24,Baltimore,14.71%
2021,1,24,Dallas,4.44%
2021,1,24,San Francisco,5.56%
2021,1,24,Atlanta,6.25%
2021,1,24,LA Chargers,2.94%
2021,1,24,Kansas City,2.86%
2021,1,24,New England,7.14%
2021,1,24,Carolina,14.71%
2021,1,24,NY Jets,8.11%
2021,1,24,Minnesota,4.55%
2021,1,24,Detroit,3.57%
2021,1,24,Jacksonville,3.70%
2021,1,24,Cincinnati,2.56%
2021,1,24,Las Vegas,3.03%
2021,1,24,Tennessee,0.00%
2021,1,17,Philadelphia,11.63%
2021,1,17,Pittsburgh,2.27%
2021,1,17,LA Rams,20.69%
