Date,team,opponent,opponent_rank
2010-11-28,Dallas,New Orleans,11
2010-11-28,Cincinnati,NY Jets,4
2010-11-28,Washington,Minnesota,23
2010-11-28,Green Bay,Atlanta,6
2010-11-28,Tennessee,Houston,21
2010-11-28,Buffalo,Pittsburgh,2
2010-11-28,Jacksonville,NY Giants,13
2010-11-28,Carolina,Cleveland,16
2010-11-28,Las Vegas,Miami,19
2010-11-28,Seattle,Kansas City,14
2010-11-28,Tampa Bay,Baltimore,8
2010-11-28,Philadelphia,Chicago,12
2010-11-28,Denver,LA Rams,24
2010-11-28,Indianapolis,LA Chargers,10
2010-12-05,Arizona,San Francisco,27
2010-12-05,Houston,Philadelphia,7
2010-12-05,Washington,NY Giants,14
2010-12-05,San Francisco,Green Bay,1
2010-12-05,Miami,Cleveland,16
2010-12-05,Denver,Kansas City,11
2010-12-05,Detroit,Chicago,13
2010-12-05,Tennessee,Jacksonville,28
2010-12-05,Cincinnati,New Orleans,10
2010-12-05,Buffalo,Minnesota,21
2010-12-05,LA Chargers,Las Vegas,17
2010-12-05,Arizona,LA Rams,23
2010-12-05,Indianapolis,Dallas,24
2010-12-05,Carolina,Seattle,30
2010-12-05,Tampa Bay,Atlanta,6
2010-12-05,Baltimore,Pittsburgh,2
2010-12-12,NY Jets,New England,2
2010-12-12,Tennessee,Indianapolis,13
2010-12-12,Cincinnati,Pittsburgh,3
2010-12-12,Cleveland,Buffalo,29
2010-12-12,Las Vegas,Jacksonville,24
2010-12-12,Carolina,Atlanta,4
2010-12-12,Green Bay,Detroit,18
2010-12-12,Washington,Tampa Bay,20
2010-12-12,LA Rams,New Orleans,8
2010-12-12,Seattle,San Francisco,27
2010-12-12,Denver,Arizona,31
2010-12-12,Kansas City,LA Chargers,6
2010-12-12,NY Jets,Miami,17
2010-12-12,Chicago,New England,2
2010-12-12,Dallas,Philadelphia,5
2010-12-19,Minnesota,NY Giants,8
2010-12-19,Houston,Baltimore,7
2010-12-19,San Francisco,LA Chargers,4
2010-12-19,LA Rams,Kansas City,14
2010-12-19,Miami,Buffalo,27
2010-12-19,Cleveland,Cincinnati,25
2010-12-19,Houston,Tennessee,12
2010-12-19,Jacksonville,Indianapolis,11
2010-12-19,New Orleans,Baltimore,7
2010-12-19,Washington,Dallas,23
2010-12-19,NY Giants,Philadelphia,6
2010-12-19,Tampa Bay,Detroit,18
2010-12-19,Arizona,Carolina,32
2010-12-19,Seattle,Atlanta,5
2010-12-19,Pittsburgh,NY Jets,10
2010-12-19,Denver,Las Vegas,15
2010-12-19,Green Bay,New England,1
2010-12-26,Minnesota,Chicago,12
2010-12-26,Carolina,Pittsburgh,4
2010-12-26,Dallas,Arizona,31
2010-12-26,San Francisco,LA Rams,24
2010-12-26,Buffalo,New England,1
2010-12-26,NY Jets,Chicago,12
2010-12-26,Cleveland,Baltimore,7
2010-12-26,Miami,Detroit,17
2010-12-26,Jacksonville,Washington,27
2010-12-26,Tennessee,Kansas City,14
2010-12-26,LA Chargers,Cincinnati,26
2010-12-26,Las Vegas,Indianapolis,11
2010-12-26,Houston,Denver,30
2010-12-26,NY Giants,Green Bay,2
2010-12-26,Seattle,Tampa Bay,19
2011-01-02,Atlanta,New Orleans,8
2011-01-02,Philadelphia,Minnesota,21
2011-01-02,New Orleans,Tampa Bay,17
2011-01-02,Cleveland,Pittsburgh,3
2011-01-02,Kansas City,Las Vegas,16
2011-01-02,Miami,New England,1
2011-01-02,Cincinnati,Baltimore,6
2011-01-02,Buffalo,NY Jets,9
2011-01-02,Carolina,Atlanta,4
2011-01-02,Minnesota,Detroit,15
2011-01-02,Arizona,San Francisco,27
2011-01-02,Chicago,Green Bay,2
2011-01-02,Jacksonville,Houston,20
2011-01-02,Philadelphia,Dallas,22
2011-01-02,Denver,LA Chargers,5
2011-01-02,Washington,NY Giants,13
2011-01-02,Tennessee,Indianapolis,10
2011-01-02,LA Rams,Seattle,29
2011-01-09,New Orleans,Seattle,29
2011-01-09,Indianapolis,NY Jets,7
2011-01-09,Kansas City,Baltimore,6
2011-01-09,Philadelphia,Green Bay,2
2011-01-16,Baltimore,Pittsburgh,3
2011-01-16,Atlanta,Green Bay,2
2011-01-16,Seattle,Chicago,9
2011-01-16,New England,NY Jets,7
2011-01-23,Chicago,Green Bay,2
2011-01-23,NY Jets,Pittsburgh,3
2011-02-06,Pittsburgh,Green Bay,2
2009-09-13,Tennessee,Pittsburgh,22
2009-09-13,Cincinnati,Denver,7
2009-09-13,Kansas City,Baltimore,32
2009-09-13,Jacksonville,Indianapolis,11
2009-09-13,Tampa Bay,Dallas,6
2009-09-13,Detroit,New Orleans,19
2009-09-13,Houston,NY Jets,21
2009-09-13,Cleveland,Minnesota,17
2009-09-13,Carolina,Philadelphia,20
2009-09-13,Miami,Atlanta,1
2009-09-13,Arizona,San Francisco,24
2009-09-13,Washington,NY Giants,18
2009-09-13,LA Rams,Seattle,27
2009-09-13,Chicago,Green Bay,9
2009-09-20,Buffalo,New England,19
2009-09-20,Las Vegas,LA Chargers,11
2009-09-20,Kansas City,Las Vegas,22
2009-09-20,New England,NY Jets,3
2009-09-20,Green Bay,Cincinnati,24
2009-09-20,Carolina,Atlanta,8
2009-09-20,LA Rams,Washington,21
2009-09-20,Jacksonville,Arizona,23
2009-09-20,Tennessee,Houston,30
2009-09-20,Detroit,Minnesota,4
2009-09-20,Philadelphia,New Orleans,6
2009-09-20,Tampa Bay,Buffalo,14
2009-09-20,Seattle,San Francisco,10
2009-09-20,Cleveland,Denver,9
2009-09-20,Pittsburgh,Chicago,20
2009-09-20,LA Chargers,Baltimore,7
2009-09-20,Dallas,NY Giants,13
2009-09-27,Miami,Indianapolis,14
2009-09-27,Tampa Bay,NY Giants,12
2009-09-27,LA Rams,Green Bay,22
2009-09-27,Atlanta,New England,19
2009-09-27,Washington,Detroit,30
2009-09-27,Cleveland,Baltimore,6
2009-09-27,Kansas City,Philadelphia,15
2009-09-27,San Francisco,Minnesota,2
2009-09-27,Tennessee,NY Jets,4
2009-09-27,Houston,Jacksonville,25
2009-09-27,Buffalo,New Orleans,1
2009-09-27,Seattle,Chicago,20
2009-09-27,Las Vegas,Denver,3
2009-09-27,Miami,LA Chargers,16
2009-09-27,Pittsburgh,Cincinnati,13
2009-09-27,Arizona,Indianapolis,14
2009-10-04,Carolina,Dallas,10
2009-10-04,Tampa Bay,Washington,21
2009-10-04,Kansas City,NY Giants,4
2009-10-04,Las Vegas,Houston,27
2009-10-04,Baltimore,New England,12
2009-10-04,Detroit,Chicago,13
2009-10-04,Cleveland,Cincinnati,14
2009-10-04,Seattle,Indianapolis,6
2009-10-04,Tennessee,Jacksonville,19
2009-10-04,NY Jets,New Orleans,1
2009-10-04,Buffalo,Miami,24
2009-10-04,Dallas,Denver,2
2009-10-04,LA Rams,San Francisco,8
2009-10-04,LA Chargers,Pittsburgh,17
2009-10-11,Green Bay,Minnesota,7
2009-10-11,LA Rams,Minnesota,7
2009-10-11,Kansas City,Dallas,11
2009-10-11,Buffalo,Cleveland,31
2009-10-11,Tampa Bay,Philadelphia,10
2009-10-11,Las Vegas,NY Giants,5
2009-10-11,Detroit,Pittsburgh,16
2009-10-11,Baltimore,Cincinnati,15
2009-10-11,Washington,Carolina,29
2009-10-11,San Francisco,Atlanta,19
2009-10-11,Houston,Arizona,21
2009-10-11,New England,Denver,2
2009-10-11,Jacksonville,Seattle,20
2009-10-11,Tennessee,Indianapolis,4
2009-10-18,NY Jets,Miami,18
2009-10-18,Tampa Bay,Carolina,25
2009-10-18,Cleveland,Pittsburgh,15
2009-10-18,Detroit,Green Bay,17
2009-10-18,Cincinnati,Houston,21
2009-10-18,NY Giants,New Orleans,1
2009-10-18,LA Rams,Jacksonville,23
2009-10-18,Washington,Kansas City,28
2009-10-18,Baltimore,Minnesota,4
2009-10-18,Seattle,Arizona,20
2009-10-18,Philadelphia,Las Vegas,31
2009-10-18,Tennessee,New England,14
2009-10-18,NY Jets,Buffalo,24
2009-10-18,Chicago,Atlanta,6
2009-10-25,LA Chargers,Denver,4
2009-10-25,LA Rams,Indianapolis,3
2009-10-25,Kansas City,LA Chargers,21
2009-10-25,Cleveland,Green Bay,9
2009-10-25,Minnesota,Pittsburgh,15
2009-10-25,San Francisco,Houston,20
2009-10-25,Tampa Bay,New England,2
2009-10-25,Carolina,Buffalo,22
2009-10-25,Las Vegas,NY Jets,16
2009-10-25,Miami,New Orleans,1
2009-10-25,Atlanta,Dallas,12
2009-10-25,Chicago,Cincinnati,18
2009-10-25,NY Giants,Arizona,13
2009-11-01,Washington,Philadelphia,14
2009-11-01,Cleveland,Chicago,21
2009-11-01,Denver,Baltimore,9
2009-11-01,NY Jets,Miami,18
2009-11-01,Buffalo,Houston,20
2009-11-01,Seattle,Dallas,13
2009-11-01,Detroit,LA Rams,32
2009-11-01,San Francisco,Indianapolis,2
2009-11-01,NY Giants,Philadelphia,14
2009-11-01,Jacksonville,Tennessee,29
2009-11-01,Las Vegas,LA Chargers,16
2009-11-01,Arizona,Carolina,25
2009-11-01,Green Bay,Minnesota,7
2009-11-08,Atlanta,New Orleans,1
2009-11-08,Houston,Indianapolis,3
2009-11-08,Miami,New England,2
2009-11-08,Baltimore,Cincinnati,12
2009-11-08,Chicago,Arizona,19
2009-11-08,Green Bay,Tampa Bay,30
2009-11-08,Kansas City,Jacksonville,24
2009-11-08,Washington,Atlanta,10
2009-11-08,Carolina,New Orleans,1
2009-11-08,Detroit,Seattle,21
2009-11-08,San Francisco,Tennessee,27
2009-11-08,NY Giants,LA Chargers,18
2009-11-08,Philadelphia,Dallas,7
2009-11-15,Denver,Pittsburgh,9
2009-11-15,Chicago,San Francisco,19
2009-11-15,LA Rams,New Orleans,1
2009-11-15,Buffalo,Tennessee,26
2009-11-15,Pittsburgh,Cincinnati,10
2009-11-15,Denver,Washington,25
2009-11-15,NY Jets,Jacksonville,24
2009-11-15,Atlanta,Carolina,22
2009-11-15,Tampa Bay,Miami,18
2009-11-15,Detroit,Minnesota,4
2009-11-15,Las Vegas,Kansas City,27
2009-11-15,Seattle,Arizona,12
2009-11-15,Dallas,Green Bay,15
2009-11-15,Philadelphia,LA Chargers,17
2009-11-15,New England,Indianapolis,3
2009-11-22,Cleveland,Baltimore,5
2009-11-22,Carolina,Miami,18
2009-11-22,Tampa Bay,New Orleans,1
2009-11-22,Pittsburgh,Kansas City,27
2009-11-22,Baltimore,Indianapolis,3
2009-11-22,San Francisco,Green Bay,13
2009-11-22,Cleveland,Detroit,29
2009-11-22,Atlanta,NY Giants,15
2009-11-22,Washington,Dallas,7
2009-11-22,Buffalo,Jacksonville,23
2009-11-22,Seattle,Minnesota,4
2009-11-22,LA Rams,Arizona,9
2009-11-22,NY Jets,New England,2
2009-11-22,Denver,LA Chargers,16
2009-11-22,Cincinnati,Las Vegas,31
2009-11-22,Chicago,Philadelphia,8
2009-11-29,Houston,Tennessee,23
2009-11-29,Detroit,Green Bay,7
2009-11-29,Las Vegas,Dallas,9
2009-11-29,NY Giants,Denver,18
2009-11-29,LA Rams,Seattle,21
2009-11-29,Miami,Buffalo,26
2009-11-29,Carolina,NY Jets,14
2009-11-29,Cleveland,Cincinnati,10
2009-11-29,Houston,Indianapolis,3
2009-11-29,Tampa Bay,Atlanta,12
2009-11-29,Washington,Philadelphia,8
2009-11-29,Jacksonville,San Francisco,19
2009-11-29,Kansas City,LA Chargers,6
2009-11-29,Arizona,Tennessee,23
2009-11-29,Chicago,Minnesota,4
2009-11-29,Pittsburgh,Baltimore,5
2009-12-06,New England,New Orleans,1
2009-12-06,Buffalo,NY Jets,13
2009-12-06,Kansas City,Denver,18
2009-12-06,Pittsburgh,Las Vegas,30
2009-12-06,LA Rams,Chicago,21
2009-12-06,New England,Miami,19
2009-12-06,Detroit,Cincinnati,10
2009-12-06,Washington,New Orleans,1
2009-12-06,Tennessee,Indianapolis,2
2009-12-06,Atlanta,Philadelphia,9
2009-12-06,Tampa Bay,Carolina,22
2009-12-06,Houston,Jacksonville,26
2009-12-06,Cleveland,LA Chargers,6
2009-12-06,Dallas,NY Giants,15
2009-12-06,San Francisco,Seattle,20
2009-12-06,Minnesota,Arizona,12
2009-12-13,Baltimore,Green Bay,7
2009-12-13,Pittsburgh,Cleveland,30
2009-12-13,Kansas City,Buffalo,26
2009-12-13,Tampa Bay,NY Jets,13
2009-12-13,Atlanta,New Orleans,1
2009-12-13,Carolina,New England,3
2009-12-13,Seattle,Houston,17
2009-12-13,Detroit,Baltimore,8
2009-12-13,Chicago,Green Bay,7
2009-12-13,Denver,Indianapolis,2
2009-12-13,Jacksonville,Miami,19
2009-12-13,Cincinnati,Minnesota,4
2009-12-13,Las Vegas,Washington,23
2009-12-13,LA Rams,Tennessee,24
2009-12-13,Dallas,LA Chargers,5
2009-12-13,NY Giants,Philadelphia,6
2009-12-20,Arizona,San Francisco,15
2009-12-20,Jacksonville,Indianapolis,2
2009-12-20,New Orleans,Dallas,9
2009-12-20,Kansas City,Cleveland,28
2009-12-20,LA Rams,Houston,14
2009-12-20,Detroit,Arizona,11
2009-12-20,Buffalo,New England,3
2009-12-20,Miami,Tennessee,20
2009-12-20,NY Jets,Atlanta,18
2009-12-20,Denver,Las Vegas,30
2009-12-20,Cincinnati,LA Chargers,7
2009-12-20,Chicago,Baltimore,5
2009-12-20,Green Bay,Pittsburgh,16
2009-12-20,San Francisco,Philadelphia,6
2009-12-20,Seattle,Tampa Bay,29
2009-12-20,Minnesota,Carolina,22
2009-12-27,Washington,NY Giants,11
2009-12-27,Tennessee,LA Chargers,5
2009-12-27,Las Vegas,Cleveland,28
2009-12-27,Buffalo,Atlanta,16
2009-12-27,Seattle,Green Bay,8
2009-12-27,Miami,Houston,15
2009-12-27,Jacksonville,New England,3
2009-12-27,Baltimore,Pittsburgh,17
2009-12-27,NY Giants,Carolina,20
2009-12-27,Kansas City,Cincinnati,12
2009-12-27,New Orleans,Tampa Bay,27
2009-12-27,Detroit,San Francisco,18
2009-12-27,LA Rams,Arizona,13
2009-12-27,Denver,Philadelphia,6
2009-12-27,Indianapolis,NY Jets,10
2009-12-27,Washington,Dallas,9
2010-01-03,Minnesota,Chicago,22
2010-01-03,LA Rams,San Francisco,19
2010-01-03,Indianapolis,Buffalo,23
2010-01-03,Jacksonville,Cleveland,28
2010-01-03,Miami,Pittsburgh,16
2010-01-03,New England,Houston,15
2010-01-03,Detroit,Chicago,22
2010-01-03,Tampa Bay,Atlanta,11
2010-01-03,New Orleans,Carolina,18
2010-01-03,NY Giants,Minnesota,8
2010-01-03,Washington,LA Chargers,5
2010-01-03,Arizona,Green Bay,7
2010-01-03,Philadelphia,Dallas,9
2010-01-03,Denver,Kansas City,29
2010-01-03,Las Vegas,Baltimore,4
2010-01-03,Seattle,Tennessee,21
2010-01-03,Cincinnati,NY Jets,10
2010-01-10,Cincinnati,NY Jets,6
2010-01-10,Philadelphia,Dallas,7
2010-01-10,New England,Baltimore,5
2010-01-10,Green Bay,Arizona,16
2010-01-17,Arizona,New Orleans,1
2010-01-17,Baltimore,Indianapolis,8
2010-01-17,Dallas,Minnesota,3
2010-01-17,LA Chargers,NY Jets,6
2010-01-24,NY Jets,Indianapolis,7
2010-01-24,Minnesota,New Orleans,1
2010-02-07,Indianapolis,New Orleans,1
2009-09-13,Tennessee,Pittsburgh,22
2009-09-13,Cincinnati,Denver,7
2009-09-13,Kansas City,Baltimore,32
2009-09-13,Jacksonville,Indianapolis,11
2009-09-13,Tampa Bay,Dallas,6
2009-09-13,Detroit,New Orleans,19
2009-09-13,Houston,NY Jets,21
2009-09-13,Cleveland,Minnesota,17
2009-09-13,Carolina,Philadelphia,20
2009-09-13,Miami,Atlanta,1
2009-09-13,Arizona,San Francisco,24
2009-09-13,Washington,NY Giants,18
2009-09-13,LA Rams,Seattle,27
2009-09-13,Chicago,Green Bay,9
2009-09-20,Buffalo,New England,19
2009-09-20,Las Vegas,LA Chargers,11
2009-09-20,Kansas City,Las Vegas,22
2009-09-20,New England,NY Jets,3
2009-09-20,Green Bay,Cincinnati,24
2009-09-20,Carolina,Atlanta,8
2009-09-20,LA Rams,Washington,21
2009-09-20,Jacksonville,Arizona,23
2009-09-20,Tennessee,Houston,30
2009-09-20,Detroit,Minnesota,4
2009-09-20,Philadelphia,New Orleans,6
2009-09-20,Tampa Bay,Buffalo,14
2009-09-20,Seattle,San Francisco,10
2009-09-20,Cleveland,Denver,9
2009-09-20,Pittsburgh,Chicago,20
2009-09-20,LA Chargers,Baltimore,7
2009-09-20,Dallas,NY Giants,13
2009-09-27,Miami,Indianapolis,14
2009-09-27,Tampa Bay,NY Giants,12
2009-09-27,LA Rams,Green Bay,22
2009-09-27,Atlanta,New England,19
2009-09-27,Washington,Detroit,30
2009-09-27,Cleveland,Baltimore,6
2009-09-27,Kansas City,Philadelphia,15
2009-09-27,San Francisco,Minnesota,2
2009-09-27,Tennessee,NY Jets,4
2009-09-27,Houston,Jacksonville,25
2009-09-27,Buffalo,New Orleans,1
2009-09-27,Seattle,Chicago,20
2009-09-27,Las Vegas,Denver,3
2009-09-27,Miami,LA Chargers,16
2009-09-27,Pittsburgh,Cincinnati,13
2009-09-27,Arizona,Indianapolis,14
2009-10-04,Carolina,Dallas,10
2009-10-04,Tampa Bay,Washington,21
2009-10-04,Kansas City,NY Giants,4
2009-10-04,Las Vegas,Houston,27
2009-10-04,Baltimore,New England,12
2009-10-04,Detroit,Chicago,13
2009-10-04,Cleveland,Cincinnati,14
2009-10-04,Seattle,Indianapolis,6
2009-10-04,Tennessee,Jacksonville,19
2009-10-04,NY Jets,New Orleans,1
2009-10-04,Buffalo,Miami,24
2009-10-04,Dallas,Denver,2
2009-10-04,LA Rams,San Francisco,8
2009-10-04,LA Chargers,Pittsburgh,17
2009-10-11,Green Bay,Minnesota,7
2009-10-11,LA Rams,Minnesota,7
2009-10-11,Kansas City,Dallas,11
2009-10-11,Buffalo,Cleveland,31
2009-10-11,Tampa Bay,Philadelphia,10
2009-10-11,Las Vegas,NY Giants,5
2009-10-11,Detroit,Pittsburgh,16
2009-10-11,Baltimore,Cincinnati,15
2009-10-11,Washington,Carolina,29
2009-10-11,San Francisco,Atlanta,19
2009-10-11,Houston,Arizona,21
2009-10-11,New England,Denver,2
2009-10-11,Jacksonville,Seattle,20
2009-10-11,Tennessee,Indianapolis,4
2009-10-18,NY Jets,Miami,18
2009-10-18,Tampa Bay,Carolina,25
2009-10-18,Cleveland,Pittsburgh,15
2009-10-18,Detroit,Green Bay,17
2009-10-18,Cincinnati,Houston,21
2009-10-18,NY Giants,New Orleans,1
2009-10-18,LA Rams,Jacksonville,23
2009-10-18,Washington,Kansas City,28
2009-10-18,Baltimore,Minnesota,4
2009-10-18,Seattle,Arizona,20
2009-10-18,Philadelphia,Las Vegas,31
2009-10-18,Tennessee,New England,14
2009-10-18,NY Jets,Buffalo,24
2009-10-18,Chicago,Atlanta,6
2009-10-25,LA Chargers,Denver,4
2009-10-25,LA Rams,Indianapolis,3
2009-10-25,Kansas City,LA Chargers,21
2009-10-25,Cleveland,Green Bay,9
2009-10-25,Minnesota,Pittsburgh,15
2009-10-25,San Francisco,Houston,20
2009-10-25,Tampa Bay,New England,2
2009-10-25,Carolina,Buffalo,22
2009-10-25,Las Vegas,NY Jets,16
2009-10-25,Miami,New Orleans,1
2009-10-25,Atlanta,Dallas,12
2009-10-25,Chicago,Cincinnati,18
2009-10-25,NY Giants,Arizona,13
2009-11-01,Washington,Philadelphia,14
2009-11-01,Cleveland,Chicago,21
2009-11-01,Denver,Baltimore,9
2009-11-01,NY Jets,Miami,18
2009-11-01,Buffalo,Houston,20
2009-11-01,Seattle,Dallas,13
2009-11-01,Detroit,LA Rams,32
2009-11-01,San Francisco,Indianapolis,2
2009-11-01,NY Giants,Philadelphia,14
2009-11-01,Jacksonville,Tennessee,29
2009-11-01,Las Vegas,LA Chargers,16
2009-11-01,Arizona,Carolina,25
2009-11-01,Green Bay,Minnesota,7
2009-11-08,Atlanta,New Orleans,1
2009-11-08,Houston,Indianapolis,3
2009-11-08,Miami,New England,2
2009-11-08,Baltimore,Cincinnati,12
2009-11-08,Chicago,Arizona,19
2009-11-08,Green Bay,Tampa Bay,30
2009-11-08,Kansas City,Jacksonville,24
2009-11-08,Washington,Atlanta,10
2009-11-08,Carolina,New Orleans,1
2009-11-08,Detroit,Seattle,21
2009-11-08,San Francisco,Tennessee,27
2009-11-08,NY Giants,LA Chargers,18
2009-11-08,Philadelphia,Dallas,7
2009-11-15,Denver,Pittsburgh,9
2009-11-15,Chicago,San Francisco,19
2009-11-15,LA Rams,New Orleans,1
2009-11-15,Buffalo,Tennessee,26
2009-11-15,Pittsburgh,Cincinnati,10
2009-11-15,Denver,Washington,25
2009-11-15,NY Jets,Jacksonville,24
2009-11-15,Atlanta,Carolina,22
2009-11-15,Tampa Bay,Miami,18
2009-11-15,Detroit,Minnesota,4
2009-11-15,Las Vegas,Kansas City,27
2009-11-15,Seattle,Arizona,12
2009-11-15,Dallas,Green Bay,15
2009-11-15,Philadelphia,LA Chargers,17
2009-11-15,New England,Indianapolis,3
2009-11-22,Cleveland,Baltimore,5
2009-11-22,Carolina,Miami,18
2009-11-22,Tampa Bay,New Orleans,1
2009-11-22,Pittsburgh,Kansas City,27
2009-11-22,Baltimore,Indianapolis,3
2009-11-22,San Francisco,Green Bay,13
2009-11-22,Cleveland,Detroit,29
2009-11-22,Atlanta,NY Giants,15
2009-11-22,Washington,Dallas,7
2009-11-22,Buffalo,Jacksonville,23
2009-11-22,Seattle,Minnesota,4
2009-11-22,LA Rams,Arizona,9
2009-11-22,NY Jets,New England,2
2009-11-22,Denver,LA Chargers,16
2009-11-22,Cincinnati,Las Vegas,31
2009-11-22,Chicago,Philadelphia,8
2009-11-29,Houston,Tennessee,23
2009-11-29,Detroit,Green Bay,7
2009-11-29,Las Vegas,Dallas,9
2009-11-29,NY Giants,Denver,18
2009-11-29,LA Rams,Seattle,21
2009-11-29,Miami,Buffalo,26
2009-11-29,Carolina,NY Jets,14
2009-11-29,Cleveland,Cincinnati,10
2009-11-29,Houston,Indianapolis,3
2009-11-29,Tampa Bay,Atlanta,12
2009-11-29,Washington,Philadelphia,8
2009-11-29,Jacksonville,San Francisco,19
2009-11-29,Kansas City,LA Chargers,6
2009-11-29,Arizona,Tennessee,23
2009-11-29,Chicago,Minnesota,4
2009-11-29,Pittsburgh,Baltimore,5
2009-12-06,New England,New Orleans,1
2009-12-06,Buffalo,NY Jets,13
2009-12-06,Kansas City,Denver,18
2009-12-06,Pittsburgh,Las Vegas,30
2009-12-06,LA Rams,Chicago,21
2009-12-06,New England,Miami,19
2009-12-06,Detroit,Cincinnati,10
2009-12-06,Washington,New Orleans,1
2009-12-06,Tennessee,Indianapolis,2
2009-12-06,Atlanta,Philadelphia,9
2009-12-06,Tampa Bay,Carolina,22
2009-12-06,Houston,Jacksonville,26
2009-12-06,Cleveland,LA Chargers,6
2009-12-06,Dallas,NY Giants,15
2009-12-06,San Francisco,Seattle,20
2009-12-06,Minnesota,Arizona,12
2009-12-13,Baltimore,Green Bay,7
2009-12-13,Pittsburgh,Cleveland,30
2009-12-13,Kansas City,Buffalo,26
2009-12-13,Tampa Bay,NY Jets,13
2009-12-13,Atlanta,New Orleans,1
2009-12-13,Carolina,New England,3
2009-12-13,Seattle,Houston,17
2009-12-13,Detroit,Baltimore,8
2009-12-13,Chicago,Green Bay,7
2009-12-13,Denver,Indianapolis,2
2009-12-13,Jacksonville,Miami,19
2009-12-13,Cincinnati,Minnesota,4
2009-12-13,Las Vegas,Washington,23
2009-12-13,LA Rams,Tennessee,24
2009-12-13,Dallas,LA Chargers,5
2009-12-13,NY Giants,Philadelphia,6
2009-12-20,Arizona,San Francisco,15
2009-12-20,Jacksonville,Indianapolis,2
2009-12-20,New Orleans,Dallas,9
2009-12-20,Kansas City,Cleveland,28
2009-12-20,LA Rams,Houston,14
2009-12-20,Detroit,Arizona,11
2009-12-20,Buffalo,New England,3
2009-12-20,Miami,Tennessee,20
2009-12-20,NY Jets,Atlanta,18
2009-12-20,Denver,Las Vegas,30
2009-12-20,Cincinnati,LA Chargers,7
2009-12-20,Chicago,Baltimore,5
2009-12-20,Green Bay,Pittsburgh,16
2009-12-20,San Francisco,Philadelphia,6
2009-12-20,Seattle,Tampa Bay,29
2009-12-20,Minnesota,Carolina,22
2009-12-27,Washington,NY Giants,11
2009-12-27,Tennessee,LA Chargers,5
2009-12-27,Las Vegas,Cleveland,28
2009-12-27,Buffalo,Atlanta,16
2009-12-27,Seattle,Green Bay,8
2009-12-27,Miami,Houston,15
2009-12-27,Jacksonville,New England,3
2009-12-27,Baltimore,Pittsburgh,17
2009-12-27,NY Giants,Carolina,20
2009-12-27,Kansas City,Cincinnati,12
2009-12-27,New Orleans,Tampa Bay,27
2009-12-27,Detroit,San Francisco,18
2009-12-27,LA Rams,Arizona,13
2009-12-27,Denver,Philadelphia,6
2009-12-27,Indianapolis,NY Jets,10
2009-12-27,Washington,Dallas,9
2010-01-03,Minnesota,Chicago,22
2010-01-03,LA Rams,San Francisco,19
2010-01-03,Indianapolis,Buffalo,23
2010-01-03,Jacksonville,Cleveland,28
2010-01-03,Miami,Pittsburgh,16
2010-01-03,New England,Houston,15
2010-01-03,Detroit,Chicago,22
2010-01-03,Tampa Bay,Atlanta,11
2010-01-03,New Orleans,Carolina,18
2010-01-03,NY Giants,Minnesota,8
2010-01-03,Washington,LA Chargers,5
2010-01-03,Arizona,Green Bay,7
2010-01-03,Philadelphia,Dallas,9
2010-01-03,Denver,Kansas City,29
2010-01-03,Las Vegas,Baltimore,4
2010-01-03,Seattle,Tennessee,21
2010-01-03,Cincinnati,NY Jets,10
2010-01-10,Cincinnati,NY Jets,6
2010-01-10,Philadelphia,Dallas,7
2010-01-10,New England,Baltimore,5
2010-01-10,Green Bay,Arizona,16
2010-01-17,Arizona,New Orleans,1
2010-01-17,Baltimore,Indianapolis,8
2010-01-17,Dallas,Minnesota,3
2010-01-17,LA Chargers,NY Jets,6
2010-01-24,NY Jets,Indianapolis,7
2010-01-24,Minnesota,New Orleans,1
2010-02-07,Indianapolis,New Orleans,1
2008-09-07,Washington,NY Giants,1
2008-09-07,LA Rams,Philadelphia,20
2008-09-07,Tampa Bay,New Orleans,19
2008-09-07,Seattle,Buffalo,3
2008-09-07,Houston,Pittsburgh,22
2008-09-07,Kansas City,New England,17
2008-09-07,Miami,NY Jets,21
2008-09-07,Detroit,Atlanta,2
2008-09-07,Jacksonville,Tennessee,11
2008-09-07,Cincinnati,Baltimore,31
2008-09-07,LA Chargers,Carolina,28
2008-09-07,Cleveland,Dallas,7
2008-09-07,San Francisco,Arizona,23
2008-09-07,Indianapolis,Chicago,4
2008-09-14,Minnesota,Green Bay,15
2008-09-14,Las Vegas,Denver,2
2008-09-14,LA Rams,NY Giants,10
2008-09-14,Kansas City,Las Vegas,31
2008-09-14,Cincinnati,Tennessee,12
2008-09-14,New Orleans,Washington,23
2008-09-14,Jacksonville,Buffalo,3
2008-09-14,Chicago,Carolina,11
2008-09-14,Detroit,Green Bay,15
2008-09-14,Minnesota,Indianapolis,28
2008-09-14,Atlanta,Tampa Bay,17
2008-09-14,Seattle,San Francisco,26
2008-09-14,Miami,Arizona,7
2008-09-14,NY Jets,New England,13
2008-09-14,LA Chargers,Denver,2
2008-09-14,Cleveland,Pittsburgh,6
2008-09-21,Philadelphia,Dallas,7
2008-09-21,Houston,Tennessee,8
2008-09-21,Kansas City,Atlanta,19
2008-09-21,Cincinnati,NY Giants,1
2008-09-21,New England,Miami,29
2008-09-21,Arizona,Washington,17
2008-09-21,Las Vegas,Buffalo,5
2008-09-21,Chicago,Tampa Bay,12
2008-09-21,Carolina,Minnesota,22
