year,month,day,team,total_points_per_game
2021,9,5,New Orleans,20.0
2021,9,5,Kansas City,9.0
2021,9,5,Seattle,20.0
2021,9,5,Indianapolis,24.0
2021,9,5,Baltimore,3.0
2021,9,5,Las Vegas,32.0
2021,9,5,Minnesota,37.0
2021,9,5,Pittsburgh,37.0
2021,9,5,Cleveland,17.0
2021,9,5,Arizona,7.0
2021,9,5,Miami,26.0
2021,9,5,Atlanta,27.0
2021,9,5,Dallas,19.0
2021,9,5,LA Chargers,38.0
2021,9,5,Houston,38.0
2021,9,5,Detroit,35.0
2021,9,5,San Francisco,23.0
2021,9,5,LA Rams,18.0
2021,9,5,Chicago,9.0
2021,9,5,Carolina,7.0
2021,9,5,Washington,23.0
2021,9,5,Philadelphia,14.0
2021,9,5,New England,28.0
2021,9,5,Denver,31.0
2021,9,5,Cincinnati,3.0
2021,9,5,Jacksonville,14.0
2021,9,5,NY Giants,23.0
2021,9,5,NY Jets,14.0
2021,2,28,Green Bay,26.0
2021,2,28,Tampa Bay,31.0
2021,2,28,Buffalo,24.0
2021,2,28,Tennessee,13.0
2021,2,28,New Orleans,20.0
2021,2,28,Kansas City,9.0
2021,2,28,Seattle,20.0
2021,2,28,Indianapolis,24.0
2021,2,28,Baltimore,3.0
2021,2,28,Las Vegas,32.0
2021,2,28,Minnesota,37.0
2021,2,28,Pittsburgh,37.0
2021,2,28,Cleveland,17.0
2021,2,28,Arizona,7.0
2021,2,28,Miami,26.0
2021,2,28,Atlanta,27.0
2021,2,28,Dallas,19.0
2021,2,28,LA Chargers,38.0
2021,2,28,Houston,38.0
2021,2,28,Detroit,35.0
2021,2,28,San Francisco,23.0
2021,2,28,LA Rams,18.0
2021,2,28,Chicago,9.0
2021,2,28,Carolina,7.0
2021,2,28,Washington,23.0
2021,2,28,Philadelphia,14.0
2021,2,28,New England,28.0
2021,2,28,Denver,31.0
2021,2,28,Cincinnati,3.0
2021,2,28,Jacksonville,14.0
2021,2,28,NY Giants,23.0
2021,2,28,NY Jets,14.0
2021,2,21,Green Bay,26.0
2021,2,21,Tampa Bay,31.0
2021,2,21,Buffalo,24.0
2021,2,21,Tennessee,13.0
2021,2,21,New Orleans,20.0
2021,2,21,Kansas City,9.0
2021,2,21,Seattle,20.0
2021,2,21,Indianapolis,24.0
2021,2,21,Baltimore,3.0
2021,2,21,Las Vegas,32.0
2021,2,21,Minnesota,37.0
2021,2,21,Pittsburgh,37.0
2021,2,21,Cleveland,17.0
2021,2,21,Arizona,7.0
2021,2,21,Miami,26.0
2021,2,21,Atlanta,27.0
2021,2,21,Dallas,19.0
2021,2,21,LA Chargers,38.0
2021,2,21,Houston,38.0
2021,2,21,Detroit,35.0
2021,2,21,San Francisco,23.0
2021,2,21,LA Rams,18.0
2021,2,21,Chicago,9.0
2021,2,21,Carolina,7.0
2021,2,21,Washington,23.0
2021,2,21,Philadelphia,14.0
2021,2,21,New England,28.0
2021,2,21,Denver,31.0
2021,2,21,Cincinnati,3.0
2021,2,21,Jacksonville,14.0
2021,2,21,NY Giants,23.0
2021,2,21,NY Jets,14.0
2021,2,14,Green Bay,26.0
2021,2,14,Tampa Bay,31.0
2021,2,14,Buffalo,24.0
2021,2,14,Tennessee,13.0
2021,2,14,New Orleans,20.0
2021,2,14,Kansas City,9.0
2021,2,14,Seattle,20.0
2021,2,14,Indianapolis,24.0
2021,2,14,Baltimore,3.0
2021,2,14,Las Vegas,32.0
2021,2,14,Minnesota,37.0
2021,2,14,Pittsburgh,37.0
2021,2,14,Cleveland,17.0
2021,2,14,Arizona,7.0
2021,2,14,Miami,26.0
2021,2,14,Atlanta,27.0
2021,2,14,Dallas,19.0
2021,2,14,LA Chargers,38.0
2021,2,14,Houston,38.0
2021,2,14,Detroit,35.0
2021,2,14,San Francisco,23.0
2021,2,14,LA Rams,18.0
2021,2,14,Chicago,9.0
2021,2,14,Carolina,7.0
2021,2,14,Washington,23.0
2021,2,14,Philadelphia,14.0
2021,2,14,New England,28.0
2021,2,14,Denver,31.0
2021,2,14,Cincinnati,3.0
2021,2,14,Jacksonville,14.0
2021,2,14,NY Giants,23.0
2021,2,14,NY Jets,14.0
2021,2,7,Green Bay,26.0
2021,2,7,Tampa Bay,31.0
2021,2,7,Buffalo,24.0
2021,2,7,Tennessee,13.0
2021,2,7,Kansas City,38.0
2021,2,7,New Orleans,20.0
2021,2,7,Seattle,20.0
2021,2,7,Indianapolis,24.0
2021,2,7,Baltimore,3.0
2021,2,7,Las Vegas,32.0
2021,2,7,Minnesota,37.0
2021,2,7,Pittsburgh,37.0
2021,2,7,Cleveland,17.0
2021,2,7,Arizona,7.0
2021,2,7,Miami,26.0
2021,2,7,Atlanta,27.0
2021,2,7,Dallas,19.0
2021,2,7,LA Chargers,38.0
2021,2,7,Houston,38.0
2021,2,7,Detroit,35.0
2021,2,7,San Francisco,23.0
2021,2,7,LA Rams,18.0
2021,2,7,Chicago,9.0
2021,2,7,Carolina,7.0
2021,2,7,Washington,23.0
2021,2,7,Philadelphia,14.0
2021,2,7,New England,28.0
2021,2,7,Denver,31.0
2021,2,7,Cincinnati,3.0
2021,2,7,Jacksonville,14.0
2021,2,7,NY Giants,23.0
2021,2,7,NY Jets,14.0
2021,1,31,Green Bay,40.0
2021,1,31,Kansas City,17.0
2021,1,31,Tennessee,14.0
2021,1,31,New Orleans,52.0
2021,1,31,Tampa Bay,47.0
2021,1,31,Buffalo,38.0
2021,1,31,Seattle,20.0
2021,1,31,Baltimore,27.0
2021,1,31,Indianapolis,24.0
2021,1,31,Arizona,12.0
2021,1,31,Las Vegas,25.0
2021,1,31,Pittsburgh,28.0
2021,1,31,Minnesota,33.0
2021,1,31,Cleveland,16.0
2021,1,31,Miami,26.0
2021,1,31,Dallas,37.0
2021,1,31,Atlanta,14.0
2021,1,31,Chicago,41.0
2021,1,31,LA Rams,9.0
2021,1,31,San Francisco,20.0
2021,1,31,LA Chargers,19.0
2021,1,31,Houston,31.0
2021,1,31,Carolina,20.0
2021,1,31,Detroit,7.0
2021,1,31,Philadelphia,17.0
2021,1,31,Washington,13.0
2021,1,31,Cincinnati,37.0
2021,1,31,New England,9.0
2021,1,31,Jacksonville,17.0
2021,1,31,Denver,16.0
2021,1,31,NY Giants,13.0
2021,1,31,NY Jets,23.0
