year,month,day,team,red_zone_TD_percentage
2015,11,1,Las Vegas,60.00%
2015,11,1,Green Bay,80.00%
2015,11,1,Washington,33.33%
2015,11,1,Kansas City,100.00%
2015,11,1,Philadelphia,50.00%
2015,11,1,Dallas,100.00%
2015,11,1,New Orleans,66.67%
2015,11,1,Cincinnati,50.00%
2015,11,1,Carolina,75.00%
2015,11,1,Houston,50.00%
2015,11,1,LA Chargers,50.00%
2015,11,1,Minnesota,66.67%
2015,11,1,Miami,0.00%
2015,11,1,San Francisco,100.00%
2015,11,1,LA Rams,0.00%
2015,11,1,Tampa Bay,0.00%
2015,11,1,Seattle,0.00%
2015,11,1,Jacksonville,50.00%
2015,11,1,Baltimore,50.00%
2015,11,1,Cleveland,33.33%
2015,11,1,NY Giants,33.33%
2015,10,25,Pittsburgh,50.00%
2015,10,25,New England,66.67%
2015,10,25,NY Jets,75.00%
2015,10,25,Atlanta,66.67%
2015,10,25,Cincinnati,100.00%
2015,10,25,Arizona,25.00%
2015,10,25,Detroit,60.00%
2015,10,25,Buffalo,100.00%
2015,10,25,Tennessee,33.33%
2015,10,25,Indianapolis,100.00%
2015,10,25,Las Vegas,50.00%
2015,10,25,Houston,100.00%
2015,10,25,Green Bay,50.00%
2015,10,25,Carolina,100.00%
2015,10,25,Miami,75.00%
2015,10,25,New Orleans,60.00%
2015,10,25,Washington,33.33%
2015,10,25,LA Chargers,33.33%
2015,10,25,Baltimore,33.33%
2015,10,25,Jacksonville,66.67%
2015,10,25,Philadelphia,50.00%
2015,10,25,Tampa Bay,60.00%
2015,10,25,Dallas,0.00%
2015,10,25,Minnesota,33.33%
2015,10,25,Chicago,37.50%
2015,10,25,LA Rams,25.00%
2015,10,25,Kansas City,0.00%
2015,10,25,NY Giants,100.00%
2015,10,25,Denver,0.00%
2015,10,25,Cleveland,66.67%
2015,10,25,San Francisco,0.00%
2015,10,25,Seattle,100.00%
2015,10,18,Pittsburgh,100.00%
2015,10,18,Arizona,100.00%
2015,10,18,New England,66.67%
2015,10,18,NY Jets,75.00%
2015,10,18,Tennessee,50.00%
2015,10,18,Atlanta,66.67%
2015,10,18,Detroit,100.00%
2015,10,18,Cincinnati,75.00%
2015,10,18,Las Vegas,50.00%
2015,10,18,LA Chargers,100.00%
2015,10,18,Washington,66.67%
2015,10,18,Green Bay,0.00%
2015,10,18,Indianapolis,75.00%
2015,10,18,Buffalo,100.00%
2015,10,18,New Orleans,60.00%
2015,10,18,Baltimore,80.00%
2015,10,18,Houston,33.33%
2015,10,18,Philadelphia,42.86%
2015,10,18,Tampa Bay,60.00%
2015,10,18,Carolina,40.00%
2015,10,18,Jacksonville,80.00%
2015,10,18,Miami,66.67%
2015,10,18,Chicago,50.00%
2015,10,18,Minnesota,50.00%
2015,10,18,Dallas,0.00%
2015,10,18,Kansas City,33.33%
2015,10,18,Denver,0.00%
2015,10,18,San Francisco,75.00%
2015,10,18,LA Rams,25.00%
2015,10,18,NY Giants,50.00%
2015,10,18,Cleveland,40.00%
2015,10,18,Seattle,0.00%
2015,10,11,Atlanta,100.00%
2015,10,11,Pittsburgh,66.67%
2015,10,11,Tennessee,66.67%
2015,10,11,New England,75.00%
2015,10,11,NY Jets,75.00%
2015,10,11,Arizona,20.00%
2015,10,11,Las Vegas,50.00%
2015,10,11,Cincinnati,100.00%
2015,10,11,Green Bay,50.00%
2015,10,11,Detroit,0.00%
2015,10,11,Philadelphia,50.00%
2015,10,11,Washington,50.00%
2015,10,11,Indianapolis,75.00%
2015,10,11,Denver,33.33%
2015,10,11,LA Chargers,66.67%
2015,10,11,Dallas,50.00%
2015,10,11,New Orleans,50.00%
2015,10,11,Houston,33.33%
2015,10,11,Buffalo,0.00%
2015,10,11,Chicago,66.67%
2015,10,11,Minnesota,50.00%
2015,10,11,Miami,66.67%
2015,10,11,LA Rams,60.00%
2015,10,11,Carolina,40.00%
2015,10,11,Kansas City,0.00%
2015,10,11,Tampa Bay,60.00%
2015,10,11,Baltimore,100.00%
2015,10,11,Jacksonville,33.33%
2015,10,11,Seattle,0.00%
2015,10,11,San Francisco,0.00%
2015,10,11,NY Giants,50.00%
2015,10,11,Cleveland,25.00%
2015,10,4,Arizona,80.00%
2015,10,4,Buffalo,50.00%
2015,10,4,Pittsburgh,66.67%
2015,10,4,Tennessee,66.67%
2015,10,4,New England,75.00%
2015,10,4,NY Jets,100.00%
2015,10,4,Atlanta,80.00%
2015,10,4,Detroit,66.67%
2015,10,4,Denver,66.67%
2015,10,4,Indianapolis,100.00%
2015,10,4,Las Vegas,60.00%
2015,10,4,Green Bay,80.00%
2015,10,4,Washington,33.33%
2015,10,4,Kansas City,100.00%
2015,10,4,Philadelphia,50.00%
2015,10,4,Dallas,100.00%
2015,10,4,New Orleans,66.67%
2015,10,4,Cincinnati,50.00%
2015,10,4,Carolina,75.00%
2015,10,4,Houston,50.00%
2015,10,4,LA Chargers,50.00%
2015,10,4,Minnesota,66.67%
2015,10,4,Baltimore,100.00%
2015,10,4,Miami,0.00%
2015,10,4,San Francisco,100.00%
2015,10,4,LA Rams,0.00%
2015,10,4,Tampa Bay,0.00%
2015,10,4,Seattle,0.00%
2015,10,4,Jacksonville,50.00%
2015,10,4,Cleveland,33.33%
2015,10,4,NY Giants,33.33%
2015,9,27,Buffalo,100.00%
2015,9,27,Arizona,100.00%
