year,month,day,team,offensive_interceptions
2015,10,11,Detroit,0.0
2015,10,11,Miami,2.0
2015,10,11,Baltimore,1.0
2015,10,11,Indianapolis,0.0
2015,10,11,NY Jets,1.0
2015,10,11,Tampa Bay,4.0
2015,10,4,New England,0.0
2015,10,4,Green Bay,0.0
2015,10,4,NY Giants,0.0
2015,10,4,Cincinnati,1.0
2015,10,4,LA Rams,1.0
2015,10,4,Pittsburgh,0.0
2015,10,4,Arizona,1.0
2015,10,4,Seattle,0.0
2015,10,4,Atlanta,0.0
2015,10,4,Carolina,0.0
2015,10,4,Minnesota,1.0
2015,10,4,Las Vegas,0.0
2015,10,4,Cleveland,1.0
2015,10,4,Tennessee,2.0
2015,10,4,Jacksonville,1.0
2015,10,4,Buffalo,0.0
2015,10,4,Tampa Bay,1.0
2015,10,4,Chicago,0.0
2015,10,4,Kansas City,1.0
2015,10,4,Dallas,1.0
2015,10,4,Houston,1.0
2015,10,4,Denver,1.0
2015,10,4,Miami,3.0
2015,10,4,New Orleans,1.0
2015,10,4,Baltimore,1.0
2015,10,4,Washington,2.0
2015,10,4,Philadelphia,0.0
2015,10,4,San Francisco,4.0
2015,10,4,LA Chargers,1.0
2015,10,4,NY Jets,3.0
2015,10,4,Detroit,2.0
2015,10,4,Indianapolis,2.0
2015,9,27,New England,0.0
2015,9,27,Miami,0.0
2015,9,27,LA Rams,0.0
2015,9,27,Tennessee,0.0
2015,9,27,Green Bay,0.0
2015,9,27,San Francisco,0.0
2015,9,27,NY Giants,0.0
2015,9,27,Cincinnati,0.0
2015,9,27,Minnesota,0.0
2015,9,27,Arizona,1.0
2015,9,27,Pittsburgh,0.0
2015,9,27,Cleveland,0.0
2015,9,27,NY Jets,1.0
2015,9,27,Carolina,1.0
2015,9,27,Jacksonville,0.0
2015,9,27,Tampa Bay,0.0
2015,9,27,Seattle,1.0
2015,9,27,New Orleans,1.0
2015,9,27,Atlanta,0.0
2015,9,27,Dallas,0.0
2015,9,27,Denver,1.0
2015,9,27,Kansas City,2.0
2015,9,27,Houston,1.0
2015,9,27,Las Vegas,1.0
2015,9,27,Washington,2.0
2015,9,27,Detroit,1.0
2015,9,27,LA Chargers,1.0
2015,9,27,Chicago,2.0
2015,9,27,Buffalo,3.0
2015,9,27,Baltimore,1.0
2015,9,27,Philadelphia,2.0
2015,9,27,Indianapolis,3.0
2015,9,20,New England,0.0
2015,9,20,Miami,0.0
2015,9,20,LA Rams,0.0
2015,9,20,NY Giants,0.0
2015,9,20,Tennessee,0.0
2015,9,20,Green Bay,0.0
2015,9,20,Arizona,0.0
2015,9,20,San Francisco,0.0
2015,9,20,Cincinnati,0.0
2015,9,20,Buffalo,0.0
2015,9,20,Pittsburgh,1.0
2015,9,20,Seattle,1.0
2015,9,20,NY Jets,1.0
2015,9,20,New Orleans,1.0
2015,9,20,Carolina,1.0
2015,9,20,Houston,1.0
2015,9,20,Minnesota,1.0
2015,9,20,Denver,1.0
2015,9,20,Chicago,1.0
2015,9,20,Kansas City,2.0
2015,9,20,Las Vegas,1.0
2015,9,20,Cleveland,1.0
2015,9,20,Baltimore,2.0
2015,9,20,Jacksonville,2.0
2015,9,20,Washington,2.0
2015,9,20,Tampa Bay,2.0
2015,9,20,Dallas,2.0
2015,9,20,LA Chargers,2.0
2015,9,20,Detroit,2.0
2015,9,20,Philadelphia,2.0
2015,9,20,Indianapolis,2.0
2015,9,20,Atlanta,2.0
2015,9,13,New England,0.0
2015,9,13,Pittsburgh,1.0
2015,9,6,Kansas City,0.0
2015,9,6,Green Bay,2.0
2015,9,6,Dallas,0.0
2015,9,6,Seattle,4.0
2015,9,6,New England,1.0
2015,9,6,San Francisco,0.0
2015,9,6,Pittsburgh,2.0
2015,9,6,Miami,0.0
2015,9,6,Detroit,1.0
2015,9,6,Baltimore,2.0
2015,9,6,Houston,1.0
2015,9,6,Buffalo,0.0
2015,9,6,Arizona,2.0
2015,9,6,Carolina,2.0
2015,9,6,NY Giants,1.0
2015,9,6,Denver,0.0
2015,9,6,Atlanta,2.0
2015,9,6,NY Jets,0.0
2015,9,6,Las Vegas,1.0
2015,9,6,LA Rams,2.0
2015,9,6,Tennessee,0.0
2015,9,6,Cleveland,1.0
2015,9,6,Cincinnati,0.0
2015,9,6,Indianapolis,2.0
2015,9,6,New Orleans,3.0
2015,9,6,LA Chargers,2.0
2015,9,6,Washington,2.0
2015,9,6,Jacksonville,0.0
2015,9,6,Minnesota,1.0
2015,9,6,Chicago,0.0
2015,9,6,Tampa Bay,1.0
2015,9,6,Philadelphia,1.0
2015,2,22,Kansas City,0.0
2015,2,22,Green Bay,2.0
2015,2,22,Dallas,0.0
2015,2,22,Seattle,4.0
2015,2,22,New England,1.0
2015,2,22,San Francisco,0.0
2015,2,22,Pittsburgh,2.0
2015,2,22,Miami,0.0
2015,2,22,Detroit,1.0
2015,2,22,Baltimore,2.0
2015,2,22,Houston,1.0
2015,2,22,Buffalo,0.0
2015,2,22,Arizona,2.0
2015,2,22,Carolina,2.0
2015,2,22,NY Giants,1.0
2015,2,22,Denver,0.0
2015,2,22,Atlanta,2.0
2015,2,22,NY Jets,0.0
2015,2,22,Las Vegas,1.0
2015,2,22,LA Rams,2.0
2015,2,22,Tennessee,0.0
2015,2,22,Cleveland,1.0
2015,2,22,Cincinnati,0.0
2015,2,22,Indianapolis,2.0
2015,2,22,New Orleans,3.0
2015,2,22,LA Chargers,2.0
2015,2,22,Washington,2.0
2015,2,22,Jacksonville,0.0
2015,2,22,Minnesota,1.0
2015,2,22,Chicago,0.0
2015,2,22,Tampa Bay,1.0
2015,2,22,Philadelphia,1.0
2015,2,15,Kansas City,0.0
2015,2,15,Green Bay,2.0
